host_id,total_guests,raw_black,prop_black,any_black,past_guest_merge
398301,37,1,.027027028,1,matched (3)
401758,60,1,.016666668,1,matched (3)
402676,19,1,.052631579,1,matched (3)
403838,509,4,.0078585465,1,matched (3)
405367,12,0,0,0,matched (3)
406140,3,0,0,0,matched (3)
406283,107,0,0,0,matched (3)
411504,18,0,0,0,matched (3)
417880,33,0,0,0,matched (3)
419492,173,1,.0057803467,1,matched (3)
419747,12,2,.16666667,1,matched (3)
428171,212,0,0,0,matched (3)
428881,57,0,0,0,matched (3)
429011,8,1,.125,1,matched (3)
430827,9,0,0,0,matched (3)
431577,,0,0,0,master only (1)
431888,20,0,0,0,matched (3)
432538,12,2,.16666667,1,matched (3)
433147,84,1,.011904762,1,matched (3)
434849,29,4,.13793103,1,matched (3)
435561,323,2,.0061919503,1,matched (3)
440348,62,1,.016129032,1,matched (3)
445901,6,0,0,0,matched (3)
447022,32,0,0,0,matched (3)
447662,70,1,.014285714,1,matched (3)
447807,4,0,0,0,matched (3)
447911,6,0,0,0,matched (3)
450342,25,1,.039999999,1,matched (3)
450845,27,0,0,0,matched (3)
453171,26,0,0,0,matched (3)
458192,42,2,.047619049,1,matched (3)
458239,,0,0,0,master only (1)
459359,4,0,0,0,matched (3)
459409,134,2,.014925373,1,matched (3)
460010,13,0,0,0,matched (3)
461177,25,1,.039999999,1,matched (3)
464475,5,0,0,0,matched (3)
466605,13,1,.07692308,1,matched (3)
467603,109,1,.0091743115,1,matched (3)
476052,92,1,.010869565,1,matched (3)
476246,17,1,.05882353,1,matched (3)
476742,52,0,0,0,matched (3)
476901,28,0,0,0,matched (3)
477273,134,0,0,0,matched (3)
479457,5,0,0,0,matched (3)
479630,292,0,0,0,matched (3)
479728,20,0,0,0,matched (3)
480053,75,1,.013333334,1,matched (3)
481929,124,0,0,0,matched (3)
483565,229,1,.0043668123,1,matched (3)
485037,134,0,0,0,matched (3)
485226,120,1,.0083333338,1,matched (3)
487346,5,0,0,0,matched (3)
487855,25,2,.079999998,1,matched (3)
489690,100,0,0,0,matched (3)
492752,13,0,0,0,matched (3)
494915,3,0,0,0,matched (3)
497117,12,2,.16666667,1,matched (3)
497768,27,0,0,0,matched (3)
498585,58,0,0,0,matched (3)
501203,1,0,0,0,matched (3)
502882,,0,0,0,master only (1)
505904,20,1,.050000001,1,matched (3)
509701,28,0,0,0,matched (3)
511136,283,1,.0035335689,1,matched (3)
514230,6,0,0,0,matched (3)
518902,25,0,0,0,matched (3)
519165,3,0,0,0,matched (3)
524566,19,2,.10526316,1,matched (3)
528169,34,2,.05882353,1,matched (3)
528735,6,0,0,0,matched (3)
530140,,0,0,0,master only (1)
532541,86,0,0,0,matched (3)
534640,2,0,0,0,matched (3)
537286,38,0,0,0,matched (3)
540468,222,0,0,0,matched (3)
544917,19,2,.10526316,1,matched (3)
545262,12,0,0,0,matched (3)
550078,95,0,0,0,matched (3)
551476,65,0,0,0,matched (3)
552845,194,0,0,0,matched (3)
553227,73,2,.02739726,1,matched (3)
553962,22,1,.045454547,1,matched (3)
557511,42,1,.023809524,1,matched (3)
565212,198,0,0,0,matched (3)
570732,2,0,0,0,matched (3)
571695,,0,0,0,master only (1)
572437,,0,0,0,master only (1)
572782,164,2,.012195121,1,matched (3)
573371,75,0,0,0,matched (3)
579143,2,0,0,0,matched (3)
580073,61,0,0,0,matched (3)
583741,25,0,0,0,matched (3)
588726,,0,0,0,master only (1)
591673,17,0,0,0,matched (3)
592405,811,1,.0012330456,1,matched (3)
594520,381,0,0,0,matched (3)
595159,3,0,0,0,matched (3)
598580,3,0,0,0,matched (3)
599075,160,0,0,0,matched (3)
599780,13,1,.07692308,1,matched (3)
602882,38,0,0,0,matched (3)
609000,30,0,0,0,matched (3)
611958,309,0,0,0,matched (3)
612793,45,0,0,0,matched (3)
617124,9,1,.11111111,1,matched (3)
617215,69,0,0,0,matched (3)
617470,26,0,0,0,matched (3)
618066,,0,0,0,master only (1)
623641,309,0,0,0,matched (3)
625337,185,0,0,0,matched (3)
628421,,0,0,0,master only (1)
629756,19,0,0,0,matched (3)
630345,75,1,.013333334,1,matched (3)
630823,12,0,0,0,matched (3)
633484,145,1,.0068965517,1,matched (3)
633945,26,0,0,0,matched (3)
635729,14,0,0,0,matched (3)
639279,45,1,.022222223,1,matched (3)
640199,48,3,.0625,1,matched (3)
640499,55,0,0,0,matched (3)
647329,6,0,0,0,matched (3)
648867,53,0,0,0,matched (3)
649540,126,1,.0079365084,1,matched (3)
657541,4,0,0,0,matched (3)
659743,1,0,0,0,matched (3)
661950,45,0,0,0,matched (3)
664642,4,0,0,0,matched (3)
665760,,0,0,0,master only (1)
670790,8,0,0,0,matched (3)
671205,41,0,0,0,matched (3)
681446,,0,0,0,master only (1)
683993,55,1,.018181818,1,matched (3)
684220,27,1,.037037037,1,matched (3)
684951,13,0,0,0,matched (3)
686983,25,0,0,0,matched (3)
689505,11,0,0,0,matched (3)
690884,57,2,.03508772,1,matched (3)
698402,,0,0,0,master only (1)
698826,42,0,0,0,matched (3)
708882,45,0,0,0,matched (3)
711126,110,0,0,0,matched (3)
711165,434,3,.0069124424,1,matched (3)
712885,1,0,0,0,matched (3)
714678,,0,0,0,master only (1)
717056,,0,0,0,master only (1)
717514,23,0,0,0,matched (3)
719656,,0,0,0,master only (1)
720130,1,0,0,0,matched (3)
720186,72,1,.013888889,1,matched (3)
720303,116,0,0,0,matched (3)
720357,69,1,.014492754,1,matched (3)
722801,20,0,0,0,matched (3)
724351,89,1,.011235955,1,matched (3)
725478,136,0,0,0,matched (3)
728027,34,0,0,0,matched (3)
728710,28,0,0,0,matched (3)
735776,2,0,0,0,matched (3)
738235,8,1,.125,1,matched (3)
740072,11,0,0,0,matched (3)
742954,8,1,.125,1,matched (3)
743559,25,0,0,0,matched (3)
744026,8,0,0,0,matched (3)
746983,46,0,0,0,matched (3)
749981,2,0,0,0,matched (3)
750192,14,0,0,0,matched (3)
751724,18,0,0,0,matched (3)
752508,104,0,0,0,matched (3)
754641,173,2,.011560693,1,matched (3)
754958,3,0,0,0,matched (3)
754964,,0,0,0,master only (1)
755879,9,3,.33333334,1,matched (3)
756619,3,0,0,0,matched (3)
761042,223,0,0,0,matched (3)
762963,193,0,0,0,matched (3)
762994,99,0,0,0,matched (3)
765801,10,0,0,0,matched (3)
767657,19,0,0,0,matched (3)
770752,15,1,.06666667,1,matched (3)
771898,16,0,0,0,matched (3)
774530,40,1,.025,1,matched (3)
774887,251,0,0,0,matched (3)
775982,120,0,0,0,matched (3)
776919,9,2,.22222222,1,matched (3)
779705,39,1,.025641026,1,matched (3)
782705,11,0,0,0,matched (3)
786559,8,0,0,0,matched (3)
786914,855,2,.0023391813,1,matched (3)
787482,29,0,0,0,matched (3)
789250,191,1,.0052356021,1,matched (3)
790626,124,0,0,0,matched (3)
791033,103,1,.009708738,1,matched (3)
791429,28,0,0,0,matched (3)
792538,10,0,0,0,matched (3)
794861,1,0,0,0,matched (3)
795796,13,0,0,0,matched (3)
797584,45,0,0,0,matched (3)
797774,10,0,0,0,matched (3)
798894,73,0,0,0,matched (3)
799155,8,0,0,0,matched (3)
802451,24,1,.041666668,1,matched (3)
804559,7,0,0,0,matched (3)
805566,4,1,.25,1,matched (3)
805676,15,0,0,0,matched (3)
807466,104,1,.009615385,1,matched (3)
812353,38,0,0,0,matched (3)
812668,5,2,.40000001,1,matched (3)
813281,113,0,0,0,matched (3)
814151,230,0,0,0,matched (3)
817624,4,0,0,0,matched (3)
819512,39,0,0,0,matched (3)
819926,102,0,0,0,matched (3)
820279,43,1,.023255814,1,matched (3)
822094,,0,0,0,master only (1)
827395,172,2,.011627907,1,matched (3)
827947,18,0,0,0,matched (3)
828826,,0,0,0,master only (1)
830269,7,0,0,0,matched (3)
832361,1,0,0,0,matched (3)
833784,6,1,.16666667,1,matched (3)
836093,4,0,0,0,matched (3)
836789,26,2,.07692308,1,matched (3)
837362,,0,0,0,master only (1)
841015,314,0,0,0,matched (3)
841127,46,1,.021739131,1,matched (3)
842285,54,1,.018518519,1,matched (3)
847451,8,1,.125,1,matched (3)
848788,9,0,0,0,matched (3)
849494,34,0,0,0,matched (3)
858306,,0,0,0,master only (1)
858595,5,0,0,0,matched (3)
866477,10,2,.2,1,matched (3)
866540,11,0,0,0,matched (3)
866697,102,1,.0098039219,1,matched (3)
871824,179,0,0,0,matched (3)
872793,16,1,.0625,1,matched (3)
875436,144,1,.0069444445,1,matched (3)
881247,79,0,0,0,matched (3)
885195,67,2,.029850746,1,matched (3)
887067,59,0,0,0,matched (3)
891930,6,0,0,0,matched (3)
896639,6,0,0,0,matched (3)
899508,379,1,.0026385225,1,matched (3)
903357,28,0,0,0,matched (3)
906053,3,0,0,0,matched (3)
906400,33,1,.030303031,1,matched (3)
909816,15,0,0,0,matched (3)
909924,12,0,0,0,matched (3)
911593,17,1,.05882353,1,matched (3)
917213,5,0,0,0,matched (3)
917823,29,0,0,0,matched (3)
924528,6,2,.33333334,1,matched (3)
929404,2,0,0,0,matched (3)
934029,4,1,.25,1,matched (3)
934626,48,0,0,0,matched (3)
934819,13,0,0,0,matched (3)
936709,39,3,.07692308,1,matched (3)
941784,84,2,.023809524,1,matched (3)
942698,11,0,0,0,matched (3)
943212,,0,0,0,master only (1)
947102,29,0,0,0,matched (3)
949856,157,5,.031847134,1,matched (3)
952446,55,3,.054545455,1,matched (3)
955572,77,1,.012987013,1,matched (3)
956417,11,0,0,0,matched (3)
958300,11,0,0,0,matched (3)
958394,,0,0,0,master only (1)
962317,45,0,0,0,matched (3)
966303,184,1,.0054347827,1,matched (3)
969636,302,1,.0033112583,1,matched (3)
969656,13,0,0,0,matched (3)
970048,51,1,.019607844,1,matched (3)
973636,79,2,.025316456,1,matched (3)
974697,31,1,.032258064,1,matched (3)
976457,102,0,0,0,matched (3)
981744,4,0,0,0,matched (3)
984426,44,0,0,0,matched (3)
984610,17,0,0,0,matched (3)
985406,2,2,1,1,matched (3)
992769,1,0,0,0,matched (3)
993398,103,1,.009708738,1,matched (3)
994596,29,0,0,0,matched (3)
997008,263,1,.0038022813,1,matched (3)
997373,33,2,.060606062,1,matched (3)
997389,2,1,.5,1,matched (3)
998025,4,0,0,0,matched (3)
998655,31,0,0,0,matched (3)
1000609,905,2,.0022099447,1,matched (3)
1001833,207,1,.0048309178,1,matched (3)
1005021,30,0,0,0,matched (3)
1006179,63,1,.015873017,1,matched (3)
1007214,41,2,.048780486,1,matched (3)
1009432,,0,0,0,master only (1)
1010332,61,0,0,0,matched (3)
1011924,17,0,0,0,matched (3)
1014683,213,0,0,0,matched (3)
1015132,1,0,0,0,matched (3)
1015393,857,0,0,0,matched (3)
1017125,7,0,0,0,matched (3)
1017354,43,1,.023255814,1,matched (3)
1017937,45,0,0,0,matched (3)
1020516,22,0,0,0,matched (3)
1024244,4,0,0,0,matched (3)
1024741,8,1,.125,1,matched (3)
1026105,2,0,0,0,matched (3)
1027849,3,0,0,0,matched (3)
1030745,862,3,.0034802784,1,matched (3)
1032538,107,0,0,0,matched (3)
1040342,4,1,.25,1,matched (3)
1073171,39,0,0,0,matched (3)
1089381,27,0,0,0,matched (3)
1089827,4,0,0,0,matched (3)
1092515,24,0,0,0,matched (3)
1095064,17,1,.05882353,1,matched (3)
1098631,158,2,.012658228,1,matched (3)
1099344,75,0,0,0,matched (3)
1099369,45,0,0,0,matched (3)
1099932,,0,0,0,master only (1)
1105855,17,0,0,0,matched (3)
1107179,23,1,.043478262,1,matched (3)
1111051,27,1,.037037037,1,matched (3)
1114363,50,0,0,0,matched (3)
1115276,99,0,0,0,matched (3)
1115480,,0,0,0,master only (1)
1115804,18,0,0,0,matched (3)
1119529,4,0,0,0,matched (3)
1129648,81,1,.012345679,1,matched (3)
1130471,17,0,0,0,matched (3)
1131910,25,0,0,0,matched (3)
1136148,50,0,0,0,matched (3)
1138654,18,0,0,0,matched (3)
1138712,61,2,.032786883,1,matched (3)
1139838,461,1,.0021691974,1,matched (3)
1141474,29,1,.034482758,1,matched (3)
1143465,16,1,.0625,1,matched (3)
1148678,194,1,.005154639,1,matched (3)
1149080,26,0,0,0,matched (3)
1150623,1,0,0,0,matched (3)
1158402,698,1,.0014326648,1,matched (3)
1159294,121,0,0,0,matched (3)
1159505,2,1,.5,1,matched (3)
1160053,17,0,0,0,matched (3)
1162748,4,0,0,0,matched (3)
1166992,25,2,.079999998,1,matched (3)
1169426,,0,0,0,master only (1)
1173084,11,2,.18181819,1,matched (3)
1173865,39,3,.07692308,1,matched (3)
1175002,13,0,0,0,matched (3)
1177581,26,0,0,0,matched (3)
1177623,12,0,0,0,matched (3)
1177859,980,7,.0071428572,1,matched (3)
1178020,22,0,0,0,matched (3)
1180409,19,0,0,0,matched (3)
1180987,57,0,0,0,matched (3)
1181670,180,1,.0055555557,1,matched (3)
1182390,221,1,.0045248871,1,matched (3)
1186905,16,0,0,0,matched (3)
1187272,10,1,.1,1,matched (3)
1187341,1,1,1,1,matched (3)
1187971,74,1,.013513514,1,matched (3)
1190906,84,0,0,0,matched (3)
1192042,18,0,0,0,matched (3)
1193949,32,0,0,0,matched (3)
1195180,4,0,0,0,matched (3)
1199467,10,0,0,0,matched (3)
1201345,129,0,0,0,matched (3)
1201932,27,1,.037037037,1,matched (3)
1204763,55,0,0,0,matched (3)
1206893,3,0,0,0,matched (3)
1208506,73,0,0,0,matched (3)
1212522,26,0,0,0,matched (3)
1213691,33,1,.030303031,1,matched (3)
1213757,176,0,0,0,matched (3)
1216959,23,2,.086956523,1,matched (3)
1217594,3,0,0,0,matched (3)
1222283,6,0,0,0,matched (3)
1223930,173,1,.0057803467,1,matched (3)
1227163,147,0,0,0,matched (3)
1227188,181,1,.0055248621,1,matched (3)
1231186,19,0,0,0,matched (3)
1231222,17,0,0,0,matched (3)
1231796,16,1,.0625,1,matched (3)
1234693,11,0,0,0,matched (3)
1236586,15,0,0,0,matched (3)
1236617,20,0,0,0,matched (3)
1237003,8,0,0,0,matched (3)
1240544,10,1,.1,1,matched (3)
1241147,,0,0,0,master only (1)
1242157,,0,0,0,master only (1)
1242936,37,0,0,0,matched (3)
1246824,4,3,.75,1,matched (3)
1247886,51,0,0,0,matched (3)
1248489,,0,0,0,master only (1)
1251308,72,1,.013888889,1,matched (3)
1253614,144,1,.0069444445,1,matched (3)
1253645,14,0,0,0,matched (3)
1254174,152,0,0,0,matched (3)
1255308,1,1,1,1,matched (3)
1257282,19,1,.052631579,1,matched (3)
1258205,31,0,0,0,matched (3)
1261812,852,1,.0011737089,1,matched (3)
1262118,29,1,.034482758,1,matched (3)
1262190,22,0,0,0,matched (3)
1267242,12,1,.083333336,1,matched (3)
1269218,13,1,.07692308,1,matched (3)
1270782,47,0,0,0,matched (3)
1271016,43,2,.046511628,1,matched (3)
1273396,5,0,0,0,matched (3)
1276558,1,0,0,0,matched (3)
1277245,,0,0,0,master only (1)
